data_file,v_makespan,v_end_sum
cp2025/t001-01.dzn,350,350
cp2025/t001-02.dzn,334,334
cp2025/t001-03.dzn,295,295
cp2025/t001-04.dzn,205,205
cp2025/t001-05.dzn,136,136
cp2025/t001-06.dzn,279,279
cp2025/t002-01.dzn,479,668
cp2025/t002-02.dzn,557,948
cp2025/t002-03.dzn,315,511
cp2025/t002-04.dzn,505,684
cp2025/t002-05.dzn,328,580
cp2025/t002-06.dzn,533,1006
cp2025/t003-01.dzn,612,1493
cp2025/t003-02.dzn,607,1330
cp2025/t003-03.dzn,609,1312
cp2025/t003-04.dzn,800,1743
cp2025/t003-05.dzn,647,1372
cp2025/t003-06.dzn,683,885
cp2025/t004-01.dzn,786,1779
cp2025/t004-02.dzn,963,2598
cp2025/t004-03.dzn,927,1674
cp2025/t004-04.dzn,680,1905
cp2025/t004-05.dzn,672,1635
cp2025/t004-06.dzn,683,2049
cp2025/t005-01.dzn,914,3261
cp2025/t005-02.dzn,1123,3710
cp2025/t005-03.dzn,969,3794
cp2025/t005-04.dzn,1102,3994
cp2025/t005-05.dzn,1099,3352
cp2025/t005-06.dzn,988,2740
cp2025/t006-01.dzn,1107,3527
cp2025/t006-02.dzn,1106,3088
cp2025/t006-03.dzn,1325,5066
cp2025/t006-04.dzn,1151,4476
cp2025/t006-05.dzn,1354,4343
cp2025/t006-06.dzn,1213,3889
cp2025/t007-01.dzn,1590,8137
cp2025/t007-02.dzn,1480,6645
cp2025/t007-03.dzn,1579,5787
cp2025/t007-04.dzn,1539,6757
cp2025/t007-05.dzn,1454,7137
cp2025/t007-06.dzn,1424,7779
cp2025/t008-01.dzn,1609,8247
cp2025/t008-02.dzn,1647,8082
cp2025/t008-03.dzn,1770,6762
cp2025/t008-04.dzn,1442,5472
cp2025/t008-05.dzn,1580,4998
cp2025/t008-06.dzn,1605,7396
cp2025/t009-01.dzn,1764,9081
cp2025/t009-02.dzn,1654,9209
cp2025/t009-03.dzn,2076,15845
cp2025/t009-04.dzn,1772,8365
cp2025/t009-05.dzn,1657,6246
cp2025/t009-06.dzn,1632,10112
cp2025/t010-01.dzn,2196,14957
cp2025/t010-02.dzn,2114,13887
cp2025/t010-03.dzn,2149,10737
cp2025/t010-04.dzn,1854,9815
cp2025/t010-05.dzn,2151,12189
cp2025/t010-06.dzn,2036,10542
cp2025/t011-01.dzn,2215,18102
cp2025/t011-02.dzn,2315,16135
cp2025/t011-03.dzn,2193,13031
cp2025/t011-04.dzn,2204,16278
cp2025/t011-05.dzn,2038,15584
cp2025/t011-06.dzn,2346,19333
cp2025/t012-01.dzn,2275,15237
